19:48:53.434 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
19:48:53.441 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
19:49:28.109 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Integrate source: java:appium-intellij:v1.1.4
19:49:28.109 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
19:49:28.222 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - maven
19:49:28.222 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
19:49:33.988 [java] INFO  c.b.launchers.LaunchMavenCommand - Completed maven archetype command
19:55:38.853 [ApplicationImpl pooled thread 31] INFO  c.b.l.BrowserStackRunExtension - testng
19:55:38.853 [ApplicationImpl pooled thread 31] INFO  com.browserstack.utils.Helpers - true
19:55:38.854 [ApplicationImpl pooled thread 31] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
19:55:38.854 [ApplicationImpl pooled thread 31] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
19:55:38.854 [ApplicationImpl pooled thread 31] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
14:34:50.522 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - testng
14:34:50.522 [ApplicationImpl pooled thread 65] INFO  com.browserstack.utils.Helpers - true
14:34:50.524 [ApplicationImpl pooled thread 65] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:34:50.524 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:34:50.524 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
14:44:41.376 [ApplicationImpl pooled thread 78] INFO  c.b.l.BrowserStackRunExtension - testng
14:44:41.376 [ApplicationImpl pooled thread 78] INFO  com.browserstack.utils.Helpers - true
14:44:41.377 [ApplicationImpl pooled thread 78] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:44:41.377 [ApplicationImpl pooled thread 78] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:44:41.377 [ApplicationImpl pooled thread 78] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
14:46:21.215 [ApplicationImpl pooled thread 77] INFO  c.b.l.BrowserStackRunExtension - testng
14:46:21.216 [ApplicationImpl pooled thread 77] INFO  com.browserstack.utils.Helpers - true
14:46:21.216 [ApplicationImpl pooled thread 77] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:46:21.216 [ApplicationImpl pooled thread 77] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:46:21.216 [ApplicationImpl pooled thread 77] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
14:48:51.954 [ApplicationImpl pooled thread 78] INFO  c.b.l.BrowserStackRunExtension - testng
14:48:51.954 [ApplicationImpl pooled thread 78] INFO  com.browserstack.utils.Helpers - true
14:48:51.955 [ApplicationImpl pooled thread 78] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:48:51.955 [ApplicationImpl pooled thread 78] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:48:51.955 [ApplicationImpl pooled thread 78] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
14:49:53.789 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - testng
14:49:53.790 [ApplicationImpl pooled thread 81] INFO  com.browserstack.utils.Helpers - true
14:49:53.790 [ApplicationImpl pooled thread 81] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:49:53.790 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
